0.00,0.00,0.00,0.00,-1,0.00
0.00,0.00,0.00,0.00,-1,0.00
0.00,0.00,0.00,0.00,-1,0.00
0.00,0.00,0.00,0.00,-1,0.00
0.00,0.00,0.00,0.00,-1,0.00
0.00,0.00,0.00,0.00,-1,0.00
0.00,0.00,0.00,0.00,-1,0.00
0.00,0.00,0.00,0.00,-1,0.00
0.00,0.00,0.00,0.00,-1,0.00
0.00,0.00,0.00,0.00,-1,0.00
0.00,0.00,0.00,0.00,-1,0.00
0.00,0.00,0.00,0.00,-1,0.00
0.00,0.00,0.00,0.00,-1,0.00
0.00,0.00,0.00,0.00,-1,0.00
0.00,0.00,0.00,0.00,-1,0.00
0.00,0.00,0.00,0.00,-1,0.00
0.00,0.00,0.00,0.00,-1,0.00
0.00,0.00,0.00,0.00,-1,0.00
0.00,0.00,0.00,0.00,-1,0.00
0.00,0.00,0.00,0.00,-1,0.00
0.00,0.00,0.00,0.00,-1,0.00
0.00,0.00,0.00,0.00,-1,0.00
0.00,0.00,0.00,0.00,-1,0.00
0.00,0.00,0.00,0.00,-1,0.00
0.00,0.00,0.00,0.00,-1,0.00
0.00,0.00,0.00,0.00,-1,0.00
0.00,0.00,0.00,0.00,-1,0.00
0.00,0.00,0.00,0.00,-1,0.00
0.00,0.00,0.00,0.00,-1,0.00
0.00,0.00,0.00,0.00,-1,0.00
0.00,0.00,0.00,0.00,-1,0.00
0.00,0.00,0.00,0.00,-1,0.00
0.00,0.00,0.00,0.00,-1,0.00
0.00,0.00,0.00,0.00,-1,0.00
0.00,0.00,0.00,0.00,-1,0.00
0.00,0.00,0.00,0.00,-1,0.00
0.00,0.00,0.00,0.00,-1,0.00
0.00,0.00,0.00,0.00,-1,0.00
0.00,0.00,0.00,0.00,-1,0.00
0.00,0.00,0.00,0.00,-1,0.00
0.00,0.00,0.00,0.00,-1,0.00
0.00,0.00,0.00,0.00,-1,0.00
0.00,0.00,0.00,0.00,-1,0.00
0.00,0.00,0.00,0.00,-1,0.00
0.00,0.00,0.00,0.00,-1,0.00
0.00,0.00,0.00,0.00,-1,0.00
0.00,0.00,0.00,0.00,-1,0.00
0.00,0.00,0.00,0.00,-1,0.00
0.00,0.00,0.00,0.00,-1,0.00
0.00,0.00,0.00,0.00,-1,0.00
0.00,0.00,0.00,0.00,-1,0.00
0.00,0.00,0.00,0.00,-1,0.00
0.00,0.00,0.00,0.00,-1,0.00
0.00,0.00,0.00,0.00,-1,0.00
0.00,0.00,0.00,0.00,-1,0.00
0.00,0.00,0.00,0.00,-1,0.00
0.00,0.00,0.00,0.00,-1,0.00
0.00,0.00,0.00,0.00,-1,0.00
0.00,0.00,0.00,0.00,-1,0.00
0.00,0.00,0.00,0.00,-1,0.00
0.00,0.00,0.00,0.00,-1,0.00
0.00,0.00,0.00,0.00,-1,0.00
0.00,0.00,0.00,0.00,-1,0.00
0.00,0.00,0.00,0.00,-1,0.00
0.00,0.00,0.00,0.00,-1,0.00
0.00,0.00,0.00,0.00,-1,0.00
0.00,0.00,0.00,0.00,-1,0.00
0.00,0.00,0.00,0.00,-1,0.00
0.00,0.00,0.00,0.00,-1,0.00
0.00,0.00,0.00,0.00,-1,0.00
0.00,0.00,0.00,0.00,-1,0.00
0.00,0.00,0.00,0.00,-1,0.00
0.00,0.00,0.00,0.00,-1,0.00
0.00,0.00,0.00,0.00,-1,0.00
0.00,0.00,0.00,0.00,-1,0.00
0.00,0.00,0.00,0.00,-1,0.00
0.00,0.00,0.00,0.00,-1,0.00
0.00,0.00,0.00,0.00,-1,0.00
0.00,0.00,0.00,0.00,-1,0.00
0.00,0.00,0.00,0.00,-1,0.00
0.00,0.00,0.00,0.00,-1,0.00
0.00,0.00,0.00,0.00,-1,0.00
0.00,0.00,0.00,0.00,-1,0.00
0.00,0.00,0.00,0.00,-1,0.00
0.00,0.00,0.00,0.00,-1,0.00
0.00,0.00,0.00,0.00,-1,0.00
0.00,0.00,0.00,0.00,-1,0.00
0.00,0.00,0.00,0.00,-1,0.00
0.00,0.00,0.00,0.00,-1,0.00
0.00,0.00,0.00,0.00,-1,0.00
0.00,0.00,0.00,0.00,-1,0.00
0.00,0.00,0.00,0.00,-1,0.00
0.00,0.00,0.00,0.00,-1,0.00
0.00,0.00,0.00,0.00,-1,0.00
0.00,0.00,0.00,0.00,-1,0.00
0.00,0.00,0.00,0.00,-1,0.00
0.00,0.00,0.00,0.00,-1,0.00
0.00,0.00,0.00,0.00,-1,0.00
0.00,0.00,0.00,0.00,-1,0.00
0.00,0.00,0.00,0.00,-1,0.00
0.00,0.00,0.00,0.00,-1,0.00
0.00,0.00,0.00,0.00,-1,0.00
0.00,0.00,0.00,0.00,-1,0.00
0.00,0.00,0.00,0.00,-1,0.00
0.00,0.00,0.00,0.00,-1,0.00
0.00,0.00,0.00,0.00,-1,0.00
0.00,0.00,0.00,0.00,-1,0.00
0.00,0.00,0.00,0.00,-1,0.00
0.00,0.00,0.00,0.00,-1,0.00
0.00,0.00,0.00,0.00,-1,0.00
0.00,0.00,0.00,0.00,-1,0.00
0.00,0.00,0.00,0.00,-1,0.00
0.00,0.00,0.00,0.00,-1,0.00
0.00,0.00,0.00,0.00,-1,0.00
0.00,0.00,0.00,0.00,-1,0.00
0.00,0.00,0.00,0.00,-1,0.00
0.00,0.00,0.00,0.00,-1,0.00
0.00,0.00,0.00,0.00,-1,0.00
0.00,0.00,0.00,0.00,-1,0.00
0.00,0.00,0.00,0.00,-1,0.00
0.00,0.00,0.00,0.00,-1,0.00
0.00,0.00,1.50,0.00,-1,0.00
0.00,0.00,1.50,0.00,-1,0.00
0.00,0.00,1.50,0.00,-1,0.00
0.00,0.00,1.50,0.00,-1,0.00
0.00,0.00,1.50,0.00,-1,0.00
0.00,0.00,1.50,0.00,-1,0.00
0.00,0.00,1.50,0.00,-1,0.00
0.00,0.00,1.50,0.00,-1,0.00
0.00,0.00,1.50,0.00,-1,0.00
0.00,0.00,1.50,0.00,-1,0.00
0.00,0.00,1.50,0.00,-1,0.00
0.00,0.00,1.50,0.00,-1,0.00
0.00,0.00,1.50,0.00,-1,0.00
0.00,0.00,1.50,0.00,-1,0.00
0.00,0.00,1.50,0.00,-1,0.00
0.00,0.00,1.50,0.00,-1,0.00
0.00,0.00,1.50,0.00,-1,0.00
0.00,0.00,1.50,0.00,-1,0.00
0.00,0.00,1.50,0.00,-1,0.00
0.00,0.00,1.50,0.00,-1,0.00
0.00,0.00,1.50,0.00,-1,0.00
0.00,0.00,1.50,0.00,-1,0.00
0.00,0.00,1.50,0.00,-1,0.00
0.00,0.00,1.50,0.00,-1,0.00
0.00,0.00,1.50,0.00,-1,0.00
0.00,0.00,1.50,0.00,-1,0.00
0.00,0.00,1.50,0.00,-1,0.00
0.00,0.00,1.50,0.00,-1,0.00
0.00,0.00,1.50,0.00,-1,0.00
0.00,0.00,1.50,0.00,-1,0.00
0.00,0.00,1.50,0.00,-1,0.00
0.00,0.00,1.50,0.00,-1,0.00
0.00,0.00,1.50,0.00,-1,0.00
0.00,0.00,1.50,0.00,-1,0.00
0.00,0.00,1.50,0.00,-1,0.00
0.00,0.00,1.50,0.00,-1,0.00
0.00,0.00,1.50,0.00,-1,0.00
0.00,0.00,1.50,0.00,-1,0.00
0.00,0.00,1.50,0.00,-1,0.00
0.00,0.00,1.50,0.00,-1,0.00
0.00,0.00,1.50,0.00,-1,0.00
0.00,0.00,1.50,0.00,-1,0.00
0.00,0.00,1.50,0.00,-1,0.00
0.00,0.00,1.50,0.00,-1,0.00
0.00,0.00,1.50,0.00,-1,0.00
0.00,0.00,1.50,0.00,-1,0.00
0.00,0.00,1.50,0.00,-1,0.00
0.00,0.00,1.50,0.00,-1,0.00
0.00,0.00,1.50,0.00,-1,0.00
0.00,0.00,1.50,0.00,-1,0.00
0.00,0.00,1.50,0.00,-1,0.00
0.00,0.00,1.50,0.00,-1,0.00
0.00,0.00,1.50,0.00,-1,0.00
0.00,0.00,1.50,0.00,-1,0.00
0.00,0.00,1.50,0.00,-1,0.00
0.00,0.00,1.50,0.00,-1,0.00
0.00,0.00,1.50,0.00,-1,0.00
0.00,0.00,1.50,0.00,-1,0.00
0.00,0.00,1.50,0.00,-1,0.00
0.00,0.00,1.50,0.00,-1,0.00
0.00,0.00,1.50,0.00,-1,0.00
0.00,0.00,1.50,0.00,-1,0.00
0.00,0.00,1.50,0.00,-1,0.00
0.00,0.00,1.50,0.00,-1,0.00
0.00,0.00,1.50,0.00,-1,0.00
0.00,0.00,1.50,0.00,-1,0.00
0.00,0.00,1.50,0.00,-1,0.00
0.00,0.00,1.50,0.00,-1,0.00
0.00,0.00,1.50,0.00,-1,0.00
0.00,0.00,1.50,0.00,-1,0.00
0.00,0.00,1.50,0.00,-1,0.00
0.00,0.00,1.50,0.00,-1,0.00
0.00,0.00,1.50,0.00,-1,0.00
0.00,0.00,1.50,0.00,-1,0.00
0.00,0.00,1.50,0.00,-1,0.00
0.00,0.00,1.50,0.00,-1,0.00
0.00,0.00,1.50,0.00,-1,0.00
0.00,0.00,1.50,0.00,-1,0.00
0.00,0.00,1.50,0.00,-1,0.00
0.00,0.00,1.50,0.00,-1,0.00
0.00,0.00,1.50,0.00,-1,0.00
0.00,0.00,1.50,0.00,-1,0.00
0.00,0.00,1.50,0.00,-1,0.00
0.00,0.00,1.50,0.00,-1,0.00
0.00,0.00,1.50,0.00,-1,0.00
0.00,0.00,1.50,0.00,-1,0.00
0.00,0.00,1.50,0.00,-1,0.00
0.00,0.00,1.50,0.00,-1,0.00
0.00,0.00,1.50,0.00,-1,0.00
0.00,0.00,1.50,0.00,-1,0.00
0.00,0.00,1.50,0.00,-1,0.00
0.00,0.00,1.50,0.00,-1,0.00
0.00,0.00,1.50,0.00,-1,0.00
0.00,0.00,1.50,0.00,-1,0.00
0.00,0.00,1.50,0.00,-1,0.00
0.00,0.00,1.50,0.00,-1,0.00
0.00,0.00,1.50,0.00,-1,0.00
0.00,0.00,1.50,0.00,-1,0.00
0.00,0.00,1.50,0.00,-1,0.00
0.00,0.00,1.50,0.00,-1,0.00
0.00,0.00,1.50,0.00,-1,0.00
0.00,0.00,1.50,0.00,-1,0.00
0.00,0.00,1.50,0.00,-1,0.00
0.00,0.00,1.50,0.00,-1,0.00
0.00,0.00,1.50,0.00,-1,0.00
0.00,0.00,1.50,0.00,-1,0.00
0.00,0.00,1.50,0.00,-1,0.00
0.00,0.00,1.50,0.00,-1,0.00
0.00,0.00,1.50,0.00,-1,0.00
0.00,0.00,1.50,0.00,-1,0.00
0.00,0.00,1.50,0.00,-1,0.00
0.00,0.00,1.50,0.00,-1,0.00
0.00,0.00,1.50,0.00,-1,0.00
0.00,0.00,1.50,0.00,-1,0.00
0.00,0.00,1.50,0.00,-1,0.00
0.00,0.00,1.50,0.00,-1,0.00
0.00,0.00,1.50,0.00,-1,0.00
0.00,0.00,1.50,0.00,-1,0.00
0.00,0.00,1.50,0.00,-1,0.00
0.00,0.00,1.50,0.00,-1,0.00
0.00,0.00,1.50,0.00,-1,0.00
0.00,0.00,1.50,0.00,-1,0.00
0.00,0.00,1.50,0.00,-1,0.00
0.00,0.00,1.50,0.00,-1,0.00
0.00,0.00,1.50,0.00,-1,0.00
0.00,0.00,1.50,0.00,-1,0.00
0.00,0.00,1.50,0.00,-1,0.00
0.00,0.00,1.50,0.00,-1,0.00
0.00,0.00,1.50,0.00,-1,0.00
0.00,0.00,1.50,0.00,-1,0.00
0.00,0.00,1.50,0.00,-1,0.00
0.00,0.00,1.50,0.00,-1,0.00
0.00,0.00,1.50,0.00,-1,0.00
0.00,0.00,1.50,0.00,-1,0.00
0.00,0.00,1.50,0.00,-1,0.00
0.00,0.00,1.50,0.00,-1,0.00
0.00,0.00,1.50,0.00,-1,0.00
0.00,0.00,1.50,0.00,-1,0.00
0.00,0.00,1.50,0.00,-1,0.00
0.00,0.00,1.50,0.00,-1,0.00
0.00,0.00,1.50,0.00,-1,0.00
0.00,0.00,1.50,0.00,-1,0.00
0.00,0.00,1.50,0.00,-1,0.00
0.00,0.00,1.50,0.00,-1,0.00
0.00,0.00,1.50,0.00,-1,0.00
0.00,0.00,1.50,0.00,-1,0.00
0.00,0.00,1.50,0.00,-1,0.00
0.00,0.00,1.50,0.00,-1,0.00
0.00,0.00,1.50,0.00,-1,0.00
0.00,0.00,1.50,0.00,-1,0.00
0.00,0.00,1.50,0.00,-1,0.00
0.00,0.00,1.50,0.00,-1,0.00
0.00,0.00,1.50,0.00,-1,0.00
0.00,0.00,1.50,0.00,-1,0.00
0.00,0.00,1.50,0.00,-1,0.00
0.00,0.00,1.50,0.00,-1,0.00
0.00,0.00,1.50,0.00,-1,0.00
0.00,0.00,1.50,0.00,-1,0.00
0.00,0.00,1.50,0.00,-1,0.00
0.00,0.00,1.50,0.00,-1,0.00
0.00,0.00,1.50,0.00,-1,0.00
0.00,0.00,1.50,0.00,-1,0.00
0.00,0.00,1.50,0.00,-1,0.00
0.00,0.00,1.50,0.00,-1,0.00
0.00,0.00,1.50,0.00,-1,0.00
0.00,0.00,1.50,0.00,-1,0.00
0.00,0.00,1.50,0.00,-1,0.00
0.00,0.00,1.50,0.00,-1,0.00
0.00,0.00,1.50,0.00,-1,0.00
0.00,0.00,1.50,0.00,-1,0.00
0.00,0.00,1.50,0.00,-1,0.00
0.00,0.00,1.50,0.00,-1,0.00
0.00,0.00,1.50,0.00,-1,0.00
0.00,0.00,1.50,0.00,-1,0.00
0.00,0.00,1.50,0.00,-1,0.00
0.00,0.00,1.50,0.00,-1,0.00
0.00,0.00,1.50,0.00,-1,0.00
0.00,0.00,1.50,0.00,-1,0.00
0.00,0.00,1.50,0.00,-1,0.00
0.00,0.00,1.50,0.00,-1,0.00
0.00,0.00,1.50,0.00,-1,0.00
0.00,0.00,1.50,0.00,-1,0.00
0.00,0.00,1.50,0.00,-1,0.00
0.00,0.00,1.50,0.00,-1,0.00
0.00,0.00,1.50,0.00,-1,0.00
0.00,0.00,1.50,0.00,-1,0.00
0.00,0.00,1.50,0.00,-1,0.00
0.00,0.00,1.50,0.00,-1,0.00
0.00,0.00,1.50,0.00,-1,0.00
0.00,0.00,1.50,0.00,-1,0.00
0.00,0.00,1.50,0.00,-1,0.00
0.00,0.00,1.50,0.00,-1,0.00
0.00,0.00,1.50,0.00,-1,0.00
0.00,0.00,1.50,0.00,-1,0.00
0.00,0.00,1.50,0.00,-1,0.00
0.00,0.00,1.50,0.00,-1,0.00
0.00,0.00,1.50,0.00,-1,0.00
0.00,0.00,1.50,0.00,-1,0.00
0.00,0.00,1.50,0.00,-1,0.00
0.00,0.00,1.50,0.00,-1,0.00
0.00,0.00,1.50,0.00,-1,0.00
0.00,0.00,1.50,0.00,-1,0.00
0.00,0.00,1.50,0.00,-1,0.00
0.00,0.00,1.50,0.00,-1,0.00
0.00,0.00,1.50,0.00,-1,0.00
0.00,0.00,1.50,0.00,-1,0.00
0.00,0.00,1.50,0.00,-1,0.00
0.00,0.00,1.50,0.00,-1,0.00
0.00,0.00,1.50,0.00,-1,0.00
0.00,0.00,1.50,0.00,-1,0.00
0.00,0.00,1.50,0.00,-1,0.00
0.00,0.00,1.50,0.00,-1,0.00
0.00,0.00,1.50,0.00,-1,0.00
0.00,0.00,1.50,0.00,-1,0.00
0.00,0.00,1.50,0.00,-1,0.00
0.00,0.00,1.50,0.00,-1,0.00
0.00,0.00,1.50,0.00,-1,0.00
0.00,0.00,1.50,0.00,-1,0.00
0.00,0.00,1.50,0.00,-1,0.00
0.00,0.00,1.50,0.00,-1,0.00
0.00,0.00,1.50,0.00,-1,0.00
0.00,0.00,1.50,0.00,-1,0.00
0.00,0.00,1.50,0.00,-1,0.00
0.00,0.00,1.50,0.00,-1,0.00
0.00,0.00,1.50,0.00,-1,0.00
0.00,0.00,1.50,0.00,-1,0.00
0.00,0.00,1.50,0.00,-1,0.00
0.00,0.00,1.50,0.00,-1,0.00
0.00,0.00,1.50,0.00,-1,0.00
0.00,0.00,1.50,0.00,-1,0.00
0.00,0.00,1.50,0.00,-1,0.00
0.00,0.00,1.50,0.00,-1,0.00
0.00,0.00,1.50,0.00,-1,0.00
0.00,0.00,1.50,0.00,-1,0.00
0.00,0.00,1.50,0.00,-1,0.00
0.00,0.00,1.50,0.00,-1,0.00
0.00,0.00,1.50,0.00,-1,0.00
0.00,0.00,1.50,0.00,-1,0.00
0.00,0.00,1.50,0.00,-1,0.00
0.00,0.00,1.50,0.00,-1,0.00
0.00,0.00,1.50,0.00,-1,0.00
0.00,0.00,1.50,0.00,-1,0.00
0.00,0.00,1.50,0.00,-1,0.00
0.00,0.00,1.50,0.00,-1,0.00
0.00,0.00,1.50,0.00,-1,0.00
0.00,0.00,1.50,0.00,-1,0.00
0.00,0.00,1.50,0.00,-1,0.00
0.00,0.00,1.50,0.00,-1,0.00
0.00,0.00,1.50,0.00,-1,0.00
0.00,0.00,1.50,0.00,-1,0.00
0.00,0.00,1.50,0.00,-1,0.00
0.00,0.00,1.50,0.00,-1,0.00
0.00,0.00,1.50,0.00,-1,0.00
0.00,0.00,1.50,0.00,-1,0.00
0.00,0.00,1.50,0.00,-1,0.00
0.00,0.00,1.50,0.00,-1,0.00
0.00,0.00,1.50,0.00,-1,0.00
0.00,0.00,1.50,0.00,-1,0.00
0.00,0.00,1.50,0.00,-1,0.00
0.00,0.00,1.50,0.00,-1,0.00
0.00,0.00,1.50,0.00,-1,0.00
0.00,0.00,1.50,0.00,-1,0.00
0.00,0.00,1.50,0.00,-1,0.00
0.00,0.00,1.50,0.00,-1,0.00
0.00,0.00,1.50,0.00,-1,0.00
0.00,0.00,1.50,0.00,-1,0.00
0.00,0.00,1.50,0.00,-1,0.00
0.00,0.00,1.50,0.00,-1,0.00
0.00,0.00,1.50,0.00,-1,0.00
0.00,0.00,1.50,0.00,-1,0.00
0.00,0.00,1.50,0.00,-1,0.00
0.00,0.00,1.50,0.00,-1,0.00
0.00,0.00,1.50,0.00,-1,0.00
0.00,0.00,1.50,0.00,-1,0.00
0.00,0.00,1.50,0.00,-1,0.00
0.00,0.00,1.50,0.00,-1,0.00
0.00,0.00,1.50,0.00,-1,0.00
0.00,0.00,1.50,0.00,-1,0.00
0.00,0.00,1.50,0.00,-1,0.00
0.00,0.00,1.50,0.00,-1,0.00
0.00,0.00,1.50,0.00,-1,0.00
0.00,0.00,1.50,0.00,-1,0.00
0.00,0.00,1.50,0.00,-1,0.00
0.00,0.00,1.50,0.00,-1,0.00
0.00,0.00,1.50,0.00,-1,0.00
0.00,0.00,1.50,0.00,-1,0.00
0.00,0.00,1.50,0.00,-1,0.00
0.00,0.00,1.50,0.00,-1,0.00
0.00,0.00,1.50,0.00,-1,0.00
0.00,0.00,1.50,0.00,-1,0.00
0.00,0.00,1.50,0.00,-1,0.00
0.00,0.00,1.50,0.00,-1,0.00
0.00,0.00,1.50,0.00,-1,0.00
0.00,0.00,1.50,0.00,-1,0.00
0.00,0.00,1.50,0.00,-1,0.00
0.00,0.00,1.50,0.00,-1,0.00
0.00,0.00,1.50,0.00,-1,0.00
0.00,0.00,1.50,0.00,-1,0.00
0.00,0.00,1.50,0.00,-1,0.00
0.00,0.00,1.50,0.00,-1,0.00
0.00,0.00,1.50,0.00,-1,0.00
0.00,0.00,1.50,0.00,-1,0.00
0.00,0.00,1.50,0.00,-1,0.00
0.00,0.00,1.50,0.00,-1,0.00
0.00,0.00,1.50,0.00,-1,0.00
0.00,0.00,1.50,0.00,-1,0.00
0.00,0.00,1.50,0.00,-1,0.00
0.00,0.00,1.50,0.00,-1,0.00
0.00,0.00,1.50,0.00,-1,0.00
0.00,0.00,1.50,0.00,-1,0.00
0.00,0.00,1.50,0.00,-1,0.00
0.00,0.00,1.50,0.00,-1,0.00
0.00,0.00,1.50,0.00,-1,0.00
0.00,0.00,1.50,0.00,-1,0.00
0.00,0.00,1.50,0.00,-1,0.00
0.00,0.00,1.50,0.00,-1,0.00
0.00,0.00,1.50,0.00,-1,0.00
0.00,0.00,1.50,0.00,-1,0.00
0.00,0.00,1.50,0.00,-1,0.00
0.00,0.00,1.50,0.00,-1,0.00
0.00,0.00,1.50,0.00,-1,0.00
0.00,0.00,1.50,0.00,-1,0.00
0.00,0.00,1.50,0.00,-1,0.00
0.00,0.00,1.50,0.00,-1,0.00
0.00,0.00,1.50,0.00,-1,0.00
0.00,0.00,1.50,0.00,-1,0.00
0.00,0.00,1.50,0.00,-1,0.00
0.00,0.00,1.50,0.00,-1,0.00
0.00,0.00,1.50,0.00,-1,0.00
0.00,0.00,1.50,0.00,-1,0.00
0.00,0.00,1.50,0.00,-1,0.00
0.00,0.00,1.50,0.00,-1,0.00
0.00,0.00,1.50,0.00,-1,0.00
0.00,0.00,1.50,0.00,-1,0.00
0.00,0.00,1.50,0.00,-1,0.00
0.00,0.00,1.50,0.00,-1,0.00
0.00,0.00,1.50,0.00,-1,0.00
0.00,0.00,1.50,0.00,-1,0.00
0.00,0.00,1.50,0.00,-1,0.00
0.00,0.00,1.50,0.00,-1,0.00
0.00,0.00,1.50,0.00,-1,0.00
0.00,0.00,1.50,0.00,-1,0.00
0.00,0.00,1.50,0.00,-1,0.00
0.00,0.00,1.50,0.00,-1,0.00
0.00,0.00,1.50,0.00,-1,0.00
0.00,0.00,1.50,0.00,-1,0.00
0.00,0.00,1.50,0.00,-1,0.00
0.00,0.00,1.50,0.00,-1,0.00
0.00,0.00,1.50,0.00,-1,0.00
0.00,0.00,1.50,0.00,-1,0.00
0.00,0.00,1.50,0.00,-1,0.00
0.00,0.00,1.50,0.00,-1,0.00
0.00,0.00,1.50,0.00,-1,0.00
0.00,0.00,1.50,0.00,-1,0.00
0.00,0.00,1.50,0.00,-1,0.00
0.00,0.00,1.50,0.00,-1,0.00
0.00,0.00,1.50,0.00,-1,0.00
0.00,0.00,1.50,0.00,-1,0.00
0.00,0.00,1.50,0.00,-1,0.00
0.00,0.00,1.50,0.00,-1,0.00
0.00,0.00,1.50,0.00,-1,0.00
0.00,0.00,1.50,0.00,-1,0.00
0.00,0.00,1.50,0.00,-1,0.00
0.00,0.00,1.50,0.00,-1,0.00
0.00,0.00,1.50,0.00,-1,0.00
0.00,0.00,1.50,0.00,-1,0.00
0.00,0.00,1.50,0.00,-1,0.00
0.00,0.00,1.50,0.00,-1,0.00
0.00,0.00,1.50,0.00,-1,0.00
0.00,0.00,1.50,0.00,-1,0.00
0.00,0.00,1.50,0.00,-1,0.00
0.00,0.00,1.50,0.00,-1,0.00
0.00,0.00,1.50,0.00,-1,0.00
0.00,0.00,1.50,0.00,-1,0.00
0.00,0.00,1.50,0.00,-1,0.00
0.00,0.00,1.50,0.00,-1,0.00
0.00,0.00,1.50,0.00,-1,0.00
0.00,0.00,1.50,0.00,-1,0.00
0.00,0.00,1.50,0.00,-1,0.00
0.00,0.00,1.50,0.00,-1,0.00
0.00,0.00,1.50,0.00,-1,0.00
0.00,0.00,1.50,0.00,-1,0.00
0.00,0.00,1.50,0.00,-1,0.00
0.00,0.00,1.50,0.00,-1,0.00
0.00,0.00,1.50,0.00,-1,0.00
0.00,0.00,1.50,0.00,-1,0.00
0.00,0.00,1.50,0.00,-1,0.00
0.00,0.00,1.50,0.00,-1,0.00
0.00,0.00,1.50,0.00,-1,0.00
0.00,0.00,1.50,0.00,-1,0.00
0.00,0.00,1.50,0.00,-1,0.00
0.00,0.00,1.50,0.00,-1,0.00
0.00,0.00,1.50,0.00,-1,0.00
0.00,0.00,1.50,0.00,-1,0.00
0.00,0.00,1.50,0.00,-1,0.00
0.00,0.00,1.50,0.00,-1,0.00
0.00,0.00,1.50,0.00,-1,0.00
0.00,0.00,1.50,0.00,-1,0.00
0.00,0.00,1.50,0.00,-1,0.00
0.00,0.00,1.50,0.00,-1,0.00
0.00,0.00,1.50,0.00,-1,0.00
0.00,0.00,1.50,0.00,-1,0.00
0.00,0.00,1.50,0.00,-1,0.00
0.00,0.00,1.50,0.00,-1,0.00
0.00,0.00,1.50,0.00,-1,0.00
0.00,0.00,1.50,0.00,-1,0.00
0.00,0.00,1.50,0.00,-1,0.00
0.00,0.00,1.50,0.00,-1,0.00
0.00,0.00,1.50,0.00,-1,0.00
0.00,0.00,1.50,0.00,-1,0.00
0.00,0.00,1.50,0.00,-1,0.00
0.00,0.00,1.50,0.00,-1,0.00
0.00,0.00,1.50,0.00,-1,0.00
0.00,0.00,1.50,0.00,-1,0.00
0.00,0.00,1.50,0.00,-1,0.00
0.00,0.00,1.50,0.00,-1,0.00
0.00,0.00,1.50,0.00,-1,0.00
0.00,0.00,1.50,0.00,-1,0.00
0.00,0.00,1.50,0.00,-1,0.00
0.00,0.00,1.50,0.00,-1,0.00
0.00,0.00,1.50,0.00,-1,0.00
0.00,0.00,1.50,0.00,-1,0.00
0.00,0.00,1.50,0.00,-1,0.00
0.00,0.00,1.50,0.00,-1,0.00
0.00,0.00,1.50,0.00,-1,0.00
0.00,0.00,1.50,0.00,-1,0.00
0.00,0.00,1.50,0.00,-1,0.00
0.00,0.00,1.50,0.00,-1,0.00
0.00,0.00,1.50,0.00,-1,0.00
0.00,0.00,1.50,0.00,-1,0.00
0.00,0.00,1.50,0.00,-1,0.00
0.00,0.00,1.50,0.00,-1,0.00
0.00,0.00,1.50,0.00,-1,0.00
0.00,0.00,1.50,0.00,-1,0.00
0.00,0.00,1.50,0.00,-1,0.00
0.00,0.00,1.50,0.00,-1,0.00
0.00,0.00,1.50,0.00,-1,0.00
0.00,0.00,1.50,0.00,-1,0.00
0.00,0.00,1.50,0.00,-1,0.00
0.00,0.00,1.50,0.00,-1,0.00
0.00,0.00,1.50,0.00,-1,0.00
0.00,0.00,1.50,0.00,-1,0.00
0.00,0.00,1.50,0.00,-1,0.00
0.00,0.00,1.50,0.00,-1,0.00
0.00,0.00,1.50,0.00,-1,0.00
0.00,0.00,1.50,0.00,-1,0.00
0.00,0.00,1.50,0.00,-1,0.00
0.00,0.00,1.50,0.00,-1,0.00
0.00,0.00,1.50,0.00,-1,0.00
0.00,0.00,1.50,0.00,-1,0.00
0.00,0.00,1.50,0.00,-1,0.00
0.00,0.00,1.50,0.00,-1,0.00
0.00,0.00,1.50,0.00,-1,0.00
0.00,0.00,1.50,0.00,-1,0.00
0.00,0.00,1.50,0.00,-1,0.00
0.00,0.00,1.50,0.00,-1,0.00
0.00,0.00,1.50,0.00,-1,0.00
0.00,0.00,1.50,0.00,-1,0.00
0.00,0.00,1.50,0.00,-1,0.00
0.00,0.00,1.50,0.00,-1,0.00
0.00,0.00,1.50,0.00,-1,0.00
0.00,0.00,1.50,0.00,-1,0.00
0.00,0.00,1.50,0.00,-1,0.00
0.00,0.00,1.50,0.00,-1,0.00
0.00,0.00,1.50,0.00,-1,0.00
0.00,0.00,1.50,0.00,-1,0.00
0.00,0.00,1.50,0.00,-1,0.00
0.00,0.00,1.50,0.00,-1,0.00
0.00,0.00,1.50,0.00,-1,0.00
0.00,0.00,1.50,0.00,-1,0.00
0.00,0.00,1.50,0.00,-1,0.00
0.00,0.00,1.50,0.00,-1,0.00
0.00,0.00,1.50,0.00,-1,0.00
0.00,0.00,1.50,0.00,-1,0.00
0.00,0.00,1.50,0.00,-1,0.00
0.00,0.00,1.50,0.00,-1,0.00
0.00,0.00,1.50,0.00,-1,0.00
0.00,0.00,1.50,0.00,-1,0.00
0.00,0.00,1.50,0.00,-1,0.00
0.00,0.00,1.50,0.00,-1,0.00
0.00,0.00,1.50,0.00,-1,0.00
0.00,0.00,1.50,0.00,-1,0.00
0.00,0.00,1.50,0.00,-1,0.00
0.00,0.00,1.50,0.00,-1,0.00
0.00,0.00,1.50,0.00,-1,0.00
0.00,0.00,1.50,0.00,-1,0.00
0.00,0.00,1.50,0.00,-1,0.00
